,cell,cyc,soc_label,mode_label,capacity,c1_15_power_var,SOC,Mode,Scenario,,,,
40,b1c0,69,-2,0,1.0766476,0.001755893,H(100-70%),Discharge,Discharge_H(100-70%),,,194,8.012831902
41,b1c0,69,-2,0,1.0766476,3.602261782,H(100-70%),Discharge,Discharge_H(100-70%),,,199,8.193396709
42,b1c0,74,-2,0,1.0763736,3.582235575,H(100-70%),Discharge,Discharge_H(100-70%),,,204,7.998785602
43,b1c0,74,-2,0,1.0763736,0.001594299,H(100-70%),Discharge,Discharge_H(100-70%),,,209,8.892328457
44,b1c0,74,-2,0,1.0763736,4.6152215,H(100-70%),Discharge,Discharge_H(100-70%),,,214,8.01069338
45,b1c0,79,-2,0,1.0762045,4.700122356,H(100-70%),Discharge,Discharge_H(100-70%),,,219,8.426248401
46,b1c0,79,-2,0,1.0762045,0.001685928,H(100-70%),Discharge,Discharge_H(100-70%),,,224,7.998815368
47,b1c0,79,-2,0,1.0762045,3.69422698,H(100-70%),Discharge,Discharge_H(100-70%),,,229,7.796354389
48,b1c0,84,-2,0,1.0762265,4.614236832,H(100-70%),Discharge,Discharge_H(100-70%),,,234,8.14445134
49,b1c0,84,-2,0,1.0762265,0.001539155,H(100-70%),Discharge,Discharge_H(100-70%),,,239,8.506980633
50,b1c0,84,-2,0,1.0762265,3.573713541,H(100-70%),Discharge,Discharge_H(100-70%),,,244,8.177025159
51,b1c0,89,-2,0,1.0749464,3.778801918,H(100-70%),Discharge,Discharge_H(100-70%),,,249,9.784711683
52,b1c0,89,-2,0,1.0749464,0.001626952,H(100-70%),Discharge,Discharge_H(100-70%),,,254,7.878302877
53,b1c0,89,-2,0,1.0749464,4.726351738,H(100-70%),Discharge,Discharge_H(100-70%),,,259,7.893519973
54,b1c0,94,-2,0,1.0758985,4.583694458,H(100-70%),Discharge,Discharge_H(100-70%),,,264,7.834305673
55,b1c0,94,-2,0,1.0758985,0.00150304,H(100-70%),Discharge,Discharge_H(100-70%),,,269,7.992994563
56,b1c0,94,-2,0,1.0758985,3.631357193,H(100-70%),Discharge,Discharge_H(100-70%),,,274,7.467255999
57,b1c0,99,-2,0,1.0758784,4.552044392,H(100-70%),Discharge,Discharge_H(100-70%),,,279,7.825442395
58,b1c0,99,-2,0,1.0758784,0.001601091,H(100-70%),Discharge,Discharge_H(100-70%),,,284,7.492866457
59,b1c0,99,-2,0,1.0758784,3.47594738,H(100-70%),Discharge,Discharge_H(100-70%),,,289,7.851048789
60,b1c0,104,-2,0,1.0757833,3.721530676,H(100-70%),Discharge,Discharge_H(100-70%),,,294,8.088534492
61,b1c0,104,-2,0,1.0757833,0.001431914,H(100-70%),Discharge,Discharge_H(100-70%),,,299,8.885548129
62,b1c0,104,-2,0,1.0757833,4.946279526,H(100-70%),Discharge,Discharge_H(100-70%),,,304,7.825857038
63,b1c0,109,-2,0,1.0757282,4.633536816,H(100-70%),Discharge,Discharge_H(100-70%),,,309,8.401859202
64,b1c0,109,-2,0,1.0757282,0.001788341,H(100-70%),Discharge,Discharge_H(100-70%),,,314,8.554087452
65,b1c0,109,-2,0,1.0757282,3.617724895,H(100-70%),Discharge,Discharge_H(100-70%),,,319,8.110279884
66,b1c0,114,-2,0,1.0755961,4.653560162,H(100-70%),Discharge,Discharge_H(100-70%),,,324,8.135062643
67,b1c0,114,-2,0,1.0755961,0.001616761,H(100-70%),Discharge,Discharge_H(100-70%),,,329,8.271521545
68,b1c0,114,-2,0,1.0755961,3.703126431,H(100-70%),Discharge,Discharge_H(100-70%),,,334,8.679893347
69,b1c0,119,-2,0,1.0755045,4.09945631,H(100-70%),Discharge,Discharge_H(100-70%),,,339,8.278038705
70,b1c0,119,-2,0,1.0755045,5.237164021,H(100-70%),Discharge,Discharge_H(100-70%),,,344,7.163845397
71,b1c0,119,-2,0,1.0755045,0.001678524,H(100-70%),Discharge,Discharge_H(100-70%),,,349,7.946987603
72,b1c0,124,-2,0,1.0751811,4.417739391,H(100-70%),Discharge,Discharge_H(100-70%),,,354,7.997523804
73,b1c0,124,-2,0,1.0751811,0.001563441,H(100-70%),Discharge,Discharge_H(100-70%),,,359,8.616458826
74,b1c0,124,-2,0,1.0751811,3.457713604,H(100-70%),Discharge,Discharge_H(100-70%),,,364,7.942857111
75,b1c0,129,-2,0,1.0752187,4.243029594,H(100-70%),Discharge,Discharge_H(100-70%),,,369,7.287263087
76,b1c0,129,-2,0,1.0752187,0.001701211,H(100-70%),Discharge,Discharge_H(100-70%),,,374,7.999190867
77,b1c0,129,-2,0,1.0752187,3.28965354,H(100-70%),Discharge,Discharge_H(100-70%),,,379,8.62354886
78,b1c0,134,-2,0,1.0744451,4.68162632,H(100-70%),Discharge,Discharge_H(100-70%),,,384,7.90792855
79,b1c0,134,-2,0,1.0744451,0.001491669,H(100-70%),Discharge,Discharge_H(100-70%),,,389,7.65758905
80,b1c0,134,-2,0,1.0744451,3.59690547,H(100-70%),Discharge,Discharge_H(100-70%),,,394,8.186733815
81,b1c0,139,-2,0,1.0747689,4.425507545,H(100-70%),Discharge,Discharge_H(100-70%),,,399,7.563182056
82,b1c0,139,-2,0,1.0747689,0.001684563,H(100-70%),Discharge,Discharge_H(100-70%),,,404,7.699004568
83,b1c0,139,-2,0,1.0747689,3.42953372,H(100-70%),Discharge,Discharge_H(100-70%),,,409,7.629628403
84,b1c0,144,-2,0,1.0746906,0.001706952,H(100-70%),Discharge,Discharge_H(100-70%),,,414,7.851945118
85,b1c0,144,-2,0,1.0746906,3.612802505,H(100-70%),Discharge,Discharge_H(100-70%),,,419,8.311175227
86,b1c0,144,-2,0,1.0746906,4.772167683,H(100-70%),Discharge,Discharge_H(100-70%),,,424,7.933019412
87,b1c0,149,-2,0,1.0740879,24.90225983,H(100-70%),Discharge,Discharge_H(100-70%),,,429,8.473878059
88,b1c0,149,-2,0,1.0740879,0.038071621,H(100-70%),Discharge,Discharge_H(100-70%),,,434,8.331925584
89,b1c0,149,-2,0,1.0740879,25.85636139,H(100-70%),Discharge,Discharge_H(100-70%),,,439,7.592377144
90,b1c0,154,-2,0,1.0742306,4.548767567,H(100-70%),Discharge,Discharge_H(100-70%),,,444,8.069229398
91,b1c0,154,-2,0,1.0742306,0.001684941,H(100-70%),Discharge,Discharge_H(100-70%),,,449,8.342308082
92,b1c0,154,-2,0,1.0742306,3.451543808,H(100-70%),Discharge,Discharge_H(100-70%),,,454,7.390175569
93,b1c0,159,-2,0,1.0738961,0.001610305,H(100-70%),Discharge,Discharge_H(100-70%),,,459,8.043002721
94,b1c0,159,-2,0,1.0738961,5.166472435,H(100-70%),Discharge,Discharge_H(100-70%),,,464,7.906816452
95,b1c0,159,-2,0,1.0738961,4.118859291,H(100-70%),Discharge,Discharge_H(100-70%),,,469,7.515637218
96,b1c0,164,-2,0,1.071436,4.724590778,H(100-70%),Discharge,Discharge_H(100-70%),,,474,7.984478593
97,b1c0,164,-2,0,1.071436,0.001399573,H(100-70%),Discharge,Discharge_H(100-70%),,,479,7.852671469
98,b1c0,164,-2,0,1.071436,3.632698536,H(100-70%),Discharge,Discharge_H(100-70%),,,484,8.317019332
99,b1c0,169,-2,0,1.0730176,0.001489149,H(100-70%),Discharge,Discharge_H(100-70%),,,489,8.631393171
100,b1c0,169,-2,0,1.0730176,3.564774275,H(100-70%),Discharge,Discharge_H(100-70%),,,494,8.758711819
101,b1c0,169,-2,0,1.0730176,4.549898624,H(100-70%),Discharge,Discharge_H(100-70%),,,499,7.818711006
102,b1c0,174,-2,0,1.0700154,3.722614527,H(100-70%),Discharge,Discharge_H(100-70%),,,504,7.777760154
103,b1c0,174,-2,0,1.0700154,0.001644926,H(100-70%),Discharge,Discharge_H(100-70%),,,509,8.159686961
104,b1c0,174,-2,0,1.0700154,4.805172443,H(100-70%),Discharge,Discharge_H(100-70%),,,514,7.947779833
105,b1c0,179,-2,0,1.07152,4.305065155,H(100-70%),Discharge,Discharge_H(100-70%),,,519,8.580676424
106,b1c0,179,-2,0,1.07152,0.001579851,H(100-70%),Discharge,Discharge_H(100-70%),,,524,7.616456563
107,b1c0,179,-2,0,1.07152,3.235574245,H(100-70%),Discharge,Discharge_H(100-70%),,,529,8.464032877
108,b1c0,184,-2,0,1.0734123,4.057186604,H(100-70%),Discharge,Discharge_H(100-70%),,,534,7.755474944
109,b1c0,184,-2,0,1.0734123,0.001493067,H(100-70%),Discharge,Discharge_H(100-70%),,,539,8.48681937
110,b1c0,184,-2,0,1.0734123,3.177453518,H(100-70%),Discharge,Discharge_H(100-70%),,,544,8.880446423
111,b1c0,189,-2,0,1.0719339,4.594088554,H(100-70%),Discharge,Discharge_H(100-70%),,,549,8.501101829
112,b1c0,189,-2,0,1.0719339,0.00155255,H(100-70%),Discharge,Discharge_H(100-70%),,,554,8.098689277
113,b1c0,189,-2,0,1.0719339,3.576734304,H(100-70%),Discharge,Discharge_H(100-70%),,,559,8.182195042
114,b1c0,194,-2,0,1.0696446,4.536402702,H(100-70%),Discharge,Discharge_H(100-70%),,,564,8.236393071
115,b1c0,194,-2,0,1.0696446,0.001560664,H(100-70%),Discharge,Discharge_H(100-70%),,,569,8.021678006
116,b1c0,194,-2,0,1.0696446,3.474868536,H(100-70%),Discharge,Discharge_H(100-70%),,,574,8.463972981
117,b1c0,199,-2,0,1.0644047,0.001596592,H(100-70%),Discharge,Discharge_H(100-70%),,,579,8.329611222
118,b1c0,199,-2,0,1.0644047,3.484622478,H(100-70%),Discharge,Discharge_H(100-70%),,,584,8.303468675
119,b1c0,199,-2,0,1.0644047,4.707177639,H(100-70%),Discharge,Discharge_H(100-70%),,,589,7.583927491
120,b1c0,204,-2,0,1.0711106,4.519948959,H(100-70%),Discharge,Discharge_H(100-70%),,,594,8.092532441
121,b1c0,204,-2,0,1.0711106,0.001625644,H(100-70%),Discharge,Discharge_H(100-70%),,,599,8.322120816
122,b1c0,204,-2,0,1.0711106,3.477210999,H(100-70%),Discharge,Discharge_H(100-70%),,,604,7.987680138
123,b1c0,209,-2,0,1.0730858,5.00942564,H(100-70%),Discharge,Discharge_H(100-70%),,,609,8.229830226
124,b1c0,209,-2,0,1.0730858,0.001478628,H(100-70%),Discharge,Discharge_H(100-70%),,,614,8.178334088
125,b1c0,209,-2,0,1.0730858,3.881424189,H(100-70%),Discharge,Discharge_H(100-70%),,,619,8.164636098
126,b1c0,214,-2,0,1.0726694,0.001409599,H(100-70%),Discharge,Discharge_H(100-70%),,,624,7.922857528
127,b1c0,214,-2,0,1.0726694,4.48777771,H(100-70%),Discharge,Discharge_H(100-70%),,,629,7.922524329
128,b1c0,214,-2,0,1.0726694,3.521506071,H(100-70%),Discharge,Discharge_H(100-70%),,,634,8.796036274
129,b1c0,219,-2,0,1.0722263,4.761492729,H(100-70%),Discharge,Discharge_H(100-70%),,,639,8.258880065
130,b1c0,219,-2,0,1.0722263,0.001571029,H(100-70%),Discharge,Discharge_H(100-70%),,,644,7.907773763
131,b1c0,219,-2,0,1.0722263,3.663184643,H(100-70%),Discharge,Discharge_H(100-70%),,,649,8.515244186
132,b1c0,224,-2,0,1.0726638,0.001750062,H(100-70%),Discharge,Discharge_H(100-70%),,,654,7.800404203
133,b1c0,224,-2,0,1.0726638,3.575946569,H(100-70%),Discharge,Discharge_H(100-70%),,,659,8.776748856
134,b1c0,224,-2,0,1.0726638,4.421118736,H(100-70%),Discharge,Discharge_H(100-70%),,,664,8.192011543
135,b1c0,229,-2,0,1.0679137,0.001697159,H(100-70%),Discharge,Discharge_H(100-70%),,,669,8.76451395
136,b1c0,229,-2,0,1.0679137,3.380123138,H(100-70%),Discharge,Discharge_H(100-70%),,,674,8.777822506
137,b1c0,229,-2,0,1.0679137,4.414534092,H(100-70%),Discharge,Discharge_H(100-70%),,,679,8.207765064
138,b1c0,234,-2,0,1.0723016,3.50064373,H(100-70%),Discharge,Discharge_H(100-70%),,,684,9.199711757
139,b1c0,234,-2,0,1.0723016,4.64236784,H(100-70%),Discharge,Discharge_H(100-70%),,,689,7.74192678
140,b1c0,234,-2,0,1.0723016,0.00143977,H(100-70%),Discharge,Discharge_H(100-70%),,,694,8.323712198
141,b1c0,239,-2,0,1.0634056,4.699179649,H(100-70%),Discharge,Discharge_H(100-70%),,,699,8.231264643
142,b1c0,239,-2,0,1.0634056,0.001606679,H(100-70%),Discharge,Discharge_H(100-70%),,,704,7.318123438
143,b1c0,239,-2,0,1.0634056,3.806194305,H(100-70%),Discharge,Discharge_H(100-70%),,,709,7.730969958
144,b1c0,244,-2,0,1.0711093,4.590914726,H(100-70%),Discharge,Discharge_H(100-70%),,,714,8.100935978
145,b1c0,244,-2,0,1.0711093,0.001528343,H(100-70%),Discharge,Discharge_H(100-70%),,,719,8.336879618
146,b1c0,244,-2,0,1.0711093,3.58458209,H(100-70%),Discharge,Discharge_H(100-70%),,,724,8.072556644
147,b1c0,249,-2,0,1.0716952,5.52798748,H(100-70%),Discharge,Discharge_H(100-70%),,,729,8.484363103
148,b1c0,249,-2,0,1.0716952,0.001444185,H(100-70%),Discharge,Discharge_H(100-70%),,,734,9.642743118
149,b1c0,249,-2,0,1.0716952,4.255280018,H(100-70%),Discharge,Discharge_H(100-70%),,,739,7.920514055
150,b1c0,254,-2,0,1.0665704,4.416249752,H(100-70%),Discharge,Discharge_H(100-70%),,,744,7.597778148
151,b1c0,254,-2,0,1.0665704,0.001660888,H(100-70%),Discharge,Discharge_H(100-70%),,,749,8.564884862
152,b1c0,254,-2,0,1.0665704,3.460392237,H(100-70%),Discharge,Discharge_H(100-70%),,,754,8.531441978
153,b1c0,259,-2,0,1.062722,0.001666641,H(100-70%),Discharge,Discharge_H(100-70%),,,759,8.097335522
154,b1c0,259,-2,0,1.062722,3.404314518,H(100-70%),Discharge,Discharge_H(100-70%),,,764,8.243366994
155,b1c0,259,-2,0,1.062722,4.487538815,H(100-70%),Discharge,Discharge_H(100-70%),,,769,8.356496096
156,b1c0,264,-2,0,1.070429,4.43437767,H(100-70%),Discharge,Discharge_H(100-70%),,,774,7.720164336
157,b1c0,264,-2,0,1.070429,0.001340299,H(100-70%),Discharge,Discharge_H(100-70%),,,779,7.675890697
158,b1c0,264,-2,0,1.070429,3.398587704,H(100-70%),Discharge,Discharge_H(100-70%),,,784,8.405529947
159,b1c0,269,-2,0,1.0709585,4.459881306,H(100-70%),Discharge,Discharge_H(100-70%),,,789,7.963104001
160,b1c0,269,-2,0,1.0709585,0.001657264,H(100-70%),Discharge,Discharge_H(100-70%),,,794,7.906160074
161,b1c0,269,-2,0,1.0709585,3.531455994,H(100-70%),Discharge,Discharge_H(100-70%),,,799,8.777909661
162,b1c0,274,-2,0,1.0707847,0.001572777,H(100-70%),Discharge,Discharge_H(100-70%),,,804,7.812590416
163,b1c0,274,-2,0,1.0707847,4.208354473,H(100-70%),Discharge,Discharge_H(100-70%),,,809,8.267669147
164,b1c0,274,-2,0,1.0707847,3.257328749,H(100-70%),Discharge,Discharge_H(100-70%),,,814,8.812916678
165,b1c0,279,-2,0,1.0699091,4.338668346,H(100-70%),Discharge,Discharge_H(100-70%),,,819,8.25352988
166,b1c0,279,-2,0,1.0699091,0.001651368,H(100-70%),Discharge,Discharge_H(100-70%),,,824,7.987521563
167,b1c0,279,-2,0,1.0699091,3.485122681,H(100-70%),Discharge,Discharge_H(100-70%),,,829,8.776803381
168,b1c0,284,-2,0,1.0651459,0.001509369,H(100-70%),Discharge,Discharge_H(100-70%),,,834,8.113408745
169,b1c0,284,-2,0,1.0651459,3.277960062,H(100-70%),Discharge,Discharge_H(100-70%),,,839,8.484997217
170,b1c0,284,-2,0,1.0651459,4.213397026,H(100-70%),Discharge,Discharge_H(100-70%),,,844,7.670493492
171,b1c0,289,-2,0,1.0695846,0.001694522,H(100-70%),Discharge,Discharge_H(100-70%),,,849,8.466954012
172,b1c0,289,-2,0,1.0695846,3.380365849,H(100-70%),Discharge,Discharge_H(100-70%),,,854,8.176385886
173,b1c0,289,-2,0,1.0695846,4.468988419,H(100-70%),Discharge,Discharge_H(100-70%),,,859,8.808299538
174,b1c0,294,-2,0,1.0646312,4.512176037,H(100-70%),Discharge,Discharge_H(100-70%),,,864,8.833872129
175,b1c0,294,-2,0,1.0646312,0.001392501,H(100-70%),Discharge,Discharge_H(100-70%),,,869,7.83527143
176,b1c0,294,-2,0,1.0646312,3.574965954,H(100-70%),Discharge,Discharge_H(100-70%),,,874,9.264963539
177,b1c0,299,-2,0,1.0697434,5.003193378,H(100-70%),Discharge,Discharge_H(100-70%),,,879,9.035258345
178,b1c0,299,-2,0,1.0697434,0.001555695,H(100-70%),Discharge,Discharge_H(100-70%),,,884,8.249215011
179,b1c0,299,-2,0,1.0697434,3.880799055,H(100-70%),Discharge,Discharge_H(100-70%),,,889,8.533704025
180,b1c0,304,-2,0,1.0667444,3.48511076,H(100-70%),Discharge,Discharge_H(100-70%),,,894,8.765120117
181,b1c0,304,-2,0,1.0667444,0.001520032,H(100-70%),Discharge,Discharge_H(100-70%),,,899,8.012372751
182,b1c0,304,-2,0,1.0667444,4.339226246,H(100-70%),Discharge,Discharge_H(100-70%),,,904,8.009556584
183,b1c0,309,-2,0,1.0696694,4.754355431,H(100-70%),Discharge,Discharge_H(100-70%),,,909,8.060908658
184,b1c0,309,-2,0,1.0696694,0.00135199,H(100-70%),Discharge,Discharge_H(100-70%),,,914,8.464966948
185,b1c0,309,-2,0,1.0696694,3.646151781,H(100-70%),Discharge,Discharge_H(100-70%),,,919,8.772648901
186,b1c0,314,-2,0,1.0648649,4.895040989,H(100-70%),Discharge,Discharge_H(100-70%),,,924,9.152917308
187,b1c0,314,-2,0,1.0648649,0.00157576,H(100-70%),Discharge,Discharge_H(100-70%),,,929,8.97277238
188,b1c0,314,-2,0,1.0648649,3.657470703,H(100-70%),Discharge,Discharge_H(100-70%),,,934,8.544232251
189,b1c0,319,-2,0,1.0693067,3.554297924,H(100-70%),Discharge,Discharge_H(100-70%),,,939,8.990437468
190,b1c0,319,-2,0,1.0693067,0.001740303,H(100-70%),Discharge,Discharge_H(100-70%),,,944,8.75157277
191,b1c0,319,-2,0,1.0693067,4.554241657,H(100-70%),Discharge,Discharge_H(100-70%),,,949,8.278840991
192,b1c0,324,-2,0,1.0661716,4.636446476,H(100-70%),Discharge,Discharge_H(100-70%),,,954,8.035704405
193,b1c0,324,-2,0,1.0661716,0.001470515,H(100-70%),Discharge,Discharge_H(100-70%),,,959,9.90429956
194,b1c0,324,-2,0,1.0661716,3.497145653,H(100-70%),Discharge,Discharge_H(100-70%),,,964,8.403034452
195,b1c0,329,-2,0,1.0673405,4.64735508,H(100-70%),Discharge,Discharge_H(100-70%),,,969,8.610966066
196,b1c0,329,-2,0,1.0673405,0.001482463,H(100-70%),Discharge,Discharge_H(100-70%),,,974,8.24899117
197,b1c0,329,-2,0,1.0673405,3.622684002,H(100-70%),Discharge,Discharge_H(100-70%),,,979,8.588121199
198,b1c0,334,-2,0,1.0695329,4.917094231,H(100-70%),Discharge,Discharge_H(100-70%),,,984,8.468202277
199,b1c0,334,-2,0,1.0695329,0.001701685,H(100-70%),Discharge,Discharge_H(100-70%),,,989,8.637210364
200,b1c0,334,-2,0,1.0695329,3.761097431,H(100-70%),Discharge,Discharge_H(100-70%),,,994,8.86565014
201,b1c0,339,-2,0,1.070029,3.593142986,H(100-70%),Discharge,Discharge_H(100-70%),,,999,8.415127208
202,b1c0,339,-2,0,1.070029,4.683334351,H(100-70%),Discharge,Discharge_H(100-70%),,,1004,8.579228562
203,b1c0,339,-2,0,1.070029,0.001561368,H(100-70%),Discharge,Discharge_H(100-70%),,,1009,8.625522061
204,b1c0,344,-2,0,1.0674061,0.001533843,H(100-70%),Discharge,Discharge_H(100-70%),,,1014,8.297745611
205,b1c0,344,-2,0,1.0674061,3.098286152,H(100-70%),Discharge,Discharge_H(100-70%),,,1019,9.019189855
206,b1c0,344,-2,0,1.0674061,4.064025402,H(100-70%),Discharge,Discharge_H(100-70%),,,1024,8.385904031
207,b1c0,349,-2,0,1.0676738,3.477561951,H(100-70%),Discharge,Discharge_H(100-70%),,,1029,8.163496789
208,b1c0,349,-2,0,1.0676738,0.001619313,H(100-70%),Discharge,Discharge_H(100-70%),,,1034,8.262692672
209,b1c0,349,-2,0,1.0676738,4.467806339,H(100-70%),Discharge,Discharge_H(100-70%),,,1039,8.518837822
210,b1c0,354,-2,0,1.0683092,4.640829563,H(100-70%),Discharge,Discharge_H(100-70%),,,1044,8.260560665
211,b1c0,354,-2,0,1.0683092,0.001388093,H(100-70%),Discharge,Discharge_H(100-70%),,,1049,7.978138847
212,b1c0,354,-2,0,1.0683092,3.355306149,H(100-70%),Discharge,Discharge_H(100-70%),,,1054,7.435898748
213,b1c0,359,-2,0,1.0650654,4.775301456,H(100-70%),Discharge,Discharge_H(100-70%),,,1059,8.946516138
214,b1c0,359,-2,0,1.0650654,0.001666479,H(100-70%),Discharge,Discharge_H(100-70%),,,1064,9.023933821
215,b1c0,359,-2,0,1.0650654,3.839490891,H(100-70%),Discharge,Discharge_H(100-70%),,,1069,8.840470573
216,b1c0,364,-2,0,1.0687932,4.451504707,H(100-70%),Discharge,Discharge_H(100-70%),,,1074,7.827605067
217,b1c0,364,-2,0,1.0687932,0.001406992,H(100-70%),Discharge,Discharge_H(100-70%),,,1079,8.214432898
218,b1c0,364,-2,0,1.0687932,3.489945412,H(100-70%),Discharge,Discharge_H(100-70%),,,1084,10.36696827
219,b1c0,369,-2,0,1.0686384,4.117177963,H(100-70%),Discharge,Discharge_H(100-70%),,,1089,8.517048819
220,b1c0,369,-2,0,1.0686384,0.001442365,H(100-70%),Discharge,Discharge_H(100-70%),,,1094,8.598746055
221,b1c0,369,-2,0,1.0686384,3.168642759,H(100-70%),Discharge,Discharge_H(100-70%),,,1099,8.399332214
222,b1c0,374,-2,0,1.0675855,0.001650155,H(100-70%),Discharge,Discharge_H(100-70%),,,1104,8.682694637
223,b1c0,374,-2,0,1.0675855,3.420552969,H(100-70%),Discharge,Discharge_H(100-70%),,,1109,8.519671171
224,b1c0,374,-2,0,1.0675855,4.576987743,H(100-70%),Discharge,Discharge_H(100-70%),,,1114,8.689895477
225,b1c0,379,-2,0,1.0594556,4.879237652,H(100-70%),Discharge,Discharge_H(100-70%),,,1119,7.826160465
226,b1c0,379,-2,0,1.0594556,0.001582736,H(100-70%),Discharge,Discharge_H(100-70%),,,1124,8.519357492
227,b1c0,379,-2,0,1.0594556,3.742728472,H(100-70%),Discharge,Discharge_H(100-70%),,,1129,7.948317046
228,b1c0,384,-2,0,1.0673084,4.459315777,H(100-70%),Discharge,Discharge_H(100-70%),,,1134,8.577312495
229,b1c0,384,-2,0,1.0673084,0.001834237,H(100-70%),Discharge,Discharge_H(100-70%),,,1139,8.119318318
230,b1c0,384,-2,0,1.0673084,3.446778536,H(100-70%),Discharge,Discharge_H(100-70%),,,1144,8.859980989
