Cell ID	Intensity	EOL_cyc	EOL_time	5%_cyc	5%_time	10%_cyc	10%_time	15%_cyc	15%_time
10-3	3.2687517887338853	1848	1656.5266666666666	708	634.6433333333333	1197	1072.9775	1462	1310.5205555555556
3-6	3.275999798748861	2491	2327.0091666666667	1072	1001.4266666666666	1614	1507.745	1961	1831.9008333333334
6-4	3.305052818833132	1717	1511.9138888888888	666	586.45	1061	934.2694444444444	1316	1158.8111111111111
3-2	3.3738193059580124	2283	2107.97	943	870.7033333333334	1417	1308.3633333333332	1760	1625.0666666666666
2-6	3.3926509337448394	1572	1454.1	789	729.825	1112	1028.6	1293	1196.025
6-5	3.43466709006562	2178	1931.765	757	671.4169444444444	1331	1180.5230555555556	1662	1474.1016666666667
7-1	3.442124539821893	1690	1478.75	637	557.375	1043	912.625	1291	1129.625
2-7	3.52498175397198	2202	2022.7816666666668	997	915.8552777777778	1492	1370.5677777777778	1781	1636.046388888889
3-7	3.54184102177071	2479	2125.7425	926	794.045	1519	1302.5425	1854	1589.805
3-3	3.5707350936978304	1649	1463.9455555555555	754	669.3844444444444	1127	1000.5255555555556	1352	1200.2755555555555
7-2	3.5715623593903754	2030	1830.3833333333334	777	700.595	1297	1169.4616666666666	1627	1467.0116666666668
3-8	3.6754836074792725	2342	2138.376111111111	940	858.2722222222222	1482	1353.1483333333333	1839	1679.1091666666666
3-4	3.723258861631968	1766	1490.7983333333334	661	557.9941666666666	1104	931.96	1374	1159.885
4-1	3.8598288533765035	2217	1881.3708333333334	704	597.4222222222222	1316	1116.7722222222221	1738	1474.8861111111112
