cell_id,cycle,feature,outlier_removed,interpolated_count,"outlier_details_(idx,val)",nan_indices,outlier_details
b1c2,1487,Consistency(>5%),True,,,,"RelErr:10.20%,SumQ:0.918,IntQ:1.012"
b1c3,11,Consistency(>5%),True,,,,"RelErr:354.41%,SumQ:1.084,IntQ:4.927"
b1c4,11,Consistency(>5%),True,,,,"RelErr:327.82%,SumQ:1.082,IntQ:4.629"
b1c4,879,Consistency(>5%),True,,,,"RelErr:163.48%,SumQ:1.051,IntQ:2.770"
b1c5,908,Consistency(>5%),True,,,,"RelErr:225.03%,SumQ:1.006,IntQ:3.271"
b1c5,909,Consistency(>5%),True,,,,"RelErr:11.14%,SumQ:0.893,IntQ:0.993"
b1c9,886,Consistency(>5%),True,,,,"RelErr:153.69%,SumQ:0.999,IntQ:2.535"
b1c10,11,Consistency(>5%),True,,,,"RelErr:246.85%,SumQ:1.080,IntQ:3.745"
b1c11,11,Consistency(>5%),True,,,,"RelErr:251.90%,SumQ:1.058,IntQ:3.724"
b1c18,39,Consistency(>5%),True,,,,"RelErr:185.59%,SumQ:1.069,IntQ:3.054"
b1c18,40,Consistency(>5%) & Magnitude(>1.4Ah),True,,,,"RelErr:63.31%,SumQ:2.884,IntQ:1.058"
b1c20,12,Consistency(>5%),True,,,,"RelErr:329.91%,SumQ:1.076,IntQ:4.624"
b1c21,12,Consistency(>5%),True,,,,"RelErr:353.94%,SumQ:1.086,IntQ:4.929"
b1c23,893,Consistency(>5%),True,,,,"RelErr:157.14%,SumQ:0.975,IntQ:2.508"
b2c3,249,Consistency(>5%),True,,,,"RelErr:368.68%,SumQ:0.960,IntQ:4.500"
b2c4,246,Consistency(>5%),True,,,,"RelErr:412.78%,SumQ:1.028,IntQ:5.271"
b2c4,247,Consistency(>5%),True,,,,"RelErr:11.62%,SumQ:0.908,IntQ:1.013"
b2c6,257,Consistency(>5%),True,,,,"RelErr:461.12%,SumQ:1.000,IntQ:5.609"
b2c10,250,Consistency(>5%),True,,,,"RelErr:442.40%,SumQ:1.040,IntQ:5.643"
b2c10,251,Consistency(>5%),True,,,,"RelErr:14.15%,SumQ:0.899,IntQ:1.027"
b2c11,249,Consistency(>5%),True,,,,"RelErr:408.68%,SumQ:1.041,IntQ:5.297"
b2c11,250,Consistency(>5%),True,,,,"RelErr:13.03%,SumQ:0.909,IntQ:1.027"
b2c12,252,Consistency(>5%),True,,,,"RelErr:53.84%,SumQ:1.014,IntQ:0.468"
b2c12,253,Consistency(>5%) & Magnitude(>1.4Ah),True,,,,"RelErr:32.80%,SumQ:1.489,IntQ:1.001"
b2c20,248,Consistency(>5%),True,,,,"RelErr:398.78%,SumQ:1.067,IntQ:5.323"
b2c20,249,Consistency(>5%),True,,,,"RelErr:9.26%,SumQ:0.964,IntQ:1.053"
b2c22,246,Consistency(>5%),True,,,,"RelErr:400.25%,SumQ:1.064,IntQ:5.323"
b2c22,247,Consistency(>5%),True,,,,"RelErr:10.96%,SumQ:0.946,IntQ:1.049"
b2c26,247,Consistency(>5%),True,,,,"RelErr:336.77%,SumQ:1.050,IntQ:4.587"
b2c28,249,Consistency(>5%),True,,,,"RelErr:400.28%,SumQ:1.063,IntQ:5.320"
b2c28,250,Consistency(>5%),True,,,,"RelErr:10.15%,SumQ:0.953,IntQ:1.049"
b2c29,246,Consistency(>5%),True,,,,"RelErr:298.84%,SumQ:1.069,IntQ:4.263"
b2c32,248,Consistency(>5%),True,,,,"RelErr:231.72%,SumQ:1.071,IntQ:3.551"
b2c37,246,Consistency(>5%),True,,,,"RelErr:364.77%,SumQ:1.070,IntQ:4.974"
b2c37,247,Consistency(>5%),True,,,,"RelErr:12.06%,SumQ:0.943,IntQ:1.057"
b2c38,247,Consistency(>5%),True,,,,"RelErr:267.85%,SumQ:1.061,IntQ:3.902"
b2c42,246,Consistency(>5%),True,,,,"RelErr:400.14%,SumQ:1.066,IntQ:5.333"
b2c42,247,Consistency(>5%),True,,,,"RelErr:7.75%,SumQ:0.976,IntQ:1.051"
b2c44,247,Consistency(>5%),True,,,,"RelErr:53.13%,SumQ:1.063,IntQ:0.498"
b2c44,248,Consistency(>5%) & Magnitude(>1.4Ah),True,,,,"RelErr:32.13%,SumQ:1.545,IntQ:1.048"
b3c6,550,Consistency(>5%),True,,,,"RelErr:45.18%,SumQ:0.935,IntQ:1.358"
b3c37,367,Consistency(>5%),True,,,,"RelErr:659.64%,SumQ:1.030,IntQ:7.825"
b3c37,596,Consistency(>5%),True,,,,"RelErr:5.49%,SumQ:1.028,IntQ:1.085"
b3c37,598,Consistency(>5%),True,,,,"RelErr:6.75%,SumQ:1.100,IntQ:1.026"
