cell_id,cycle,feature,outlier_removed,interpolated_count
7-3,200,Voltage (V),1,0
7-3,201,Voltage (V),1,0
7-3,202,Voltage (V),1,0
7-3,203,Voltage (V),1,0
7-3,205,Voltage (V),1,0
7-3,206,Voltage (V),1,0
7-3,207,Voltage (V),1,0
7-3,209,Voltage (V),1,0
7-3,210,Voltage (V),1,0
7-3,211,Voltage (V),1,0
7-3,212,Voltage (V),1,0
7-3,213,Voltage (V),1,0
7-3,214,Voltage (V),1,0
7-3,219,Voltage (V),1,0
7-3,220,Voltage (V),1,0
7-3,221,Voltage (V),1,0
7-3,222,Voltage (V),1,0
7-3,223,Voltage (V),1,0
7-3,224,Voltage (V),1,0
7-3,226,Voltage (V),1,0
7-3,227,Voltage (V),1,0
7-3,228,Voltage (V),1,0
7-3,229,Voltage (V),1,0
7-3,230,Voltage (V),1,0
7-3,231,Voltage (V),1,0
7-3,234,Voltage (V),1,0
7-3,235,Voltage (V),1,0
7-3,236,Voltage (V),1,0
7-3,237,Voltage (V),1,0
7-3,238,Voltage (V),1,0
7-3,239,Voltage (V),1,0
7-3,240,Voltage (V),1,0
7-3,241,Voltage (V),1,0
7-3,242,Voltage (V),1,0
7-3,244,Voltage (V),1,0
7-3,245,Voltage (V),1,0
7-3,246,Voltage (V),1,0
7-3,247,Voltage (V),1,0
7-3,253,Voltage (V),1,0
7-3,254,Voltage (V),1,0
7-3,255,Voltage (V),1,0
7-3,256,Voltage (V),1,0
7-3,257,Voltage (V),1,0
7-3,258,Voltage (V),1,0
7-3,259,Voltage (V),1,0
7-3,260,Voltage (V),1,0
7-3,261,Voltage (V),1,0
7-3,262,Voltage (V),1,0
7-3,265,Voltage (V),1,0
7-3,266,Voltage (V),1,0
7-3,267,Voltage (V),1,0
7-3,275,Voltage (V),1,0
7-3,276,Voltage (V),1,0
7-3,277,Voltage (V),1,0
7-3,278,Voltage (V),1,0
7-3,279,Voltage (V),1,0
7-3,285,Voltage (V),1,0
7-3,286,Voltage (V),1,0
7-3,291,Voltage (V),1,0
7-3,292,Voltage (V),1,0
7-3,293,Voltage (V),1,0
7-3,294,Voltage (V),1,0
7-3,295,Voltage (V),1,0
7-3,296,Voltage (V),1,0
7-3,297,Voltage (V),1,0
7-3,298,Voltage (V),1,0
7-3,305,Voltage (V),1,0
7-3,306,Voltage (V),1,0
7-3,311,Voltage (V),1,0
7-3,312,Voltage (V),1,0
7-3,313,Voltage (V),1,0
7-3,323,Voltage (V),1,0
7-3,328,Voltage (V),1,0
7-3,329,Voltage (V),1,0
7-3,330,Voltage (V),1,0
7-3,331,Voltage (V),1,0
7-3,338,Voltage (V),1,0
7-3,339,Voltage (V),1,0
7-3,346,Voltage (V),1,0
7-3,353,Voltage (V),1,0
7-3,366,Voltage (V),1,0
7-3,375,Voltage (V),1,0
7-4,5,Voltage (V),1,0
7-4,7,Voltage (V),1,0
7-4,8,Voltage (V),1,0
7-4,10,Voltage (V),1,0
7-4,11,Voltage (V),1,0
7-4,13,Voltage (V),1,0
7-4,14,Voltage (V),1,0
7-4,16,Voltage (V),1,0
7-4,17,Voltage (V),1,0
7-4,19,Voltage (V),1,0
7-4,20,Voltage (V),1,0
7-4,22,Voltage (V),1,0
7-4,23,Voltage (V),1,0
7-4,24,Voltage (V),1,0
7-4,25,Voltage (V),1,0
7-4,26,Voltage (V),1,0
7-4,28,Voltage (V),1,0
7-4,29,Voltage (V),1,0
7-4,30,Voltage (V),1,0
7-4,34,Voltage (V),1,0
7-4,35,Voltage (V),1,0
7-4,36,Voltage (V),1,0
7-4,37,Voltage (V),1,0
7-4,39,Voltage (V),1,0
7-4,40,Voltage (V),1,0
7-4,41,Voltage (V),1,0
7-4,42,Voltage (V),1,0
7-4,44,Voltage (V),1,0
7-4,45,Voltage (V),1,0
7-4,46,Voltage (V),1,0
7-4,47,Voltage (V),1,0
7-4,49,Voltage (V),1,0
7-4,50,Voltage (V),1,0
7-4,51,Voltage (V),1,0
7-4,52,Voltage (V),1,0
7-4,53,Voltage (V),1,0
7-4,56,Voltage (V),1,0
7-4,57,Voltage (V),1,0
7-4,58,Voltage (V),1,0
7-4,59,Voltage (V),1,0
7-4,63,Voltage (V),1,0
7-4,64,Voltage (V),1,0
7-4,65,Voltage (V),1,0
7-4,67,Voltage (V),1,0
7-4,68,Voltage (V),1,0
7-4,69,Voltage (V),1,0
7-4,70,Voltage (V),1,0
7-4,71,Voltage (V),1,0
7-4,72,Voltage (V),1,0
7-4,73,Voltage (V),1,0
7-4,74,Voltage (V),1,0
7-4,75,Voltage (V),1,0
7-4,76,Voltage (V),1,0
7-4,79,Voltage (V),1,0
7-4,81,Voltage (V),1,0
7-4,82,Voltage (V),1,0
7-4,83,Voltage (V),1,0
7-4,84,Voltage (V),1,0
7-4,85,Voltage (V),1,0
7-4,88,Voltage (V),1,0
7-4,89,Voltage (V),1,0
7-4,95,Voltage (V),1,0
7-4,97,Voltage (V),1,0
7-4,99,Voltage (V),1,0
7-4,100,Voltage (V),1,0
7-4,101,Voltage (V),1,0
7-4,102,Voltage (V),1,0
7-4,103,Voltage (V),1,0
7-4,104,Voltage (V),1,0
7-4,109,Voltage (V),1,0
7-4,110,Voltage (V),1,0
7-4,113,Voltage (V),1,0
7-4,114,Voltage (V),1,0
7-4,115,Voltage (V),1,0
7-4,116,Voltage (V),1,0
7-4,117,Voltage (V),1,0
7-4,120,Voltage (V),1,0
7-4,121,Voltage (V),1,0
7-4,122,Voltage (V),1,0
7-4,126,Voltage (V),1,0
7-4,127,Voltage (V),1,0
7-4,128,Voltage (V),1,0
7-4,129,Voltage (V),1,0
7-4,132,Voltage (V),1,0
7-4,133,Voltage (V),1,0
7-4,134,Voltage (V),1,0
7-4,137,Voltage (V),1,0
7-4,138,Voltage (V),1,0
7-4,139,Voltage (V),1,0
7-4,140,Voltage (V),1,0
7-4,148,Voltage (V),1,0
7-4,153,Voltage (V),1,0
7-4,154,Voltage (V),1,0
7-4,155,Voltage (V),1,0
7-4,156,Voltage (V),1,0
7-4,157,Voltage (V),1,0
7-4,161,Voltage (V),1,0
7-4,162,Voltage (V),1,0
7-4,163,Voltage (V),1,0
7-4,164,Voltage (V),1,0
7-4,174,Voltage (V),1,0
7-4,178,Voltage (V),1,0
7-4,191,Voltage (V),1,0
7-4,192,Voltage (V),1,0
7-4,195,Voltage (V),1,0
7-4,196,Voltage (V),1,0
7-4,202,Voltage (V),1,0
7-4,203,Voltage (V),1,0
7-4,208,Voltage (V),1,0
7-4,227,Voltage (V),1,0
7-4,229,Voltage (V),1,0
7-4,230,Voltage (V),1,0
7-4,242,Voltage (V),1,0
7-4,243,Voltage (V),1,0
7-4,256,Voltage (V),1,0
7-4,257,Voltage (V),1,0
7-4,258,Voltage (V),1,0
7-4,266,Voltage (V),1,0
7-4,279,Voltage (V),1,0
7-4,310,Voltage (V),1,0
7-4,311,Voltage (V),1,0
7-6,7,Voltage (V),1,0
7-6,10,Voltage (V),1,0
7-6,15,Voltage (V),1,0
7-6,19,Voltage (V),1,0
7-6,22,Voltage (V),1,0
7-6,27,Voltage (V),1,0
7-6,28,Voltage (V),1,0
7-6,29,Voltage (V),1,0
7-6,32,Voltage (V),1,0
7-6,33,Voltage (V),1,0
7-6,38,Voltage (V),1,0
7-6,39,Voltage (V),1,0
7-6,44,Voltage (V),1,0
7-6,45,Voltage (V),1,0
7-6,49,Voltage (V),1,0
7-6,53,Voltage (V),1,0
7-6,54,Voltage (V),1,0
7-6,55,Voltage (V),1,0
7-6,59,Voltage (V),1,0
7-6,60,Voltage (V),1,0
7-6,61,Voltage (V),1,0
7-6,66,Voltage (V),1,0
7-6,70,Voltage (V),1,0
7-6,73,Voltage (V),1,0
7-6,74,Voltage (V),1,0
7-6,75,Voltage (V),1,0
7-6,80,Voltage (V),1,0
7-6,81,Voltage (V),1,0
7-6,82,Voltage (V),1,0
7-6,83,Voltage (V),1,0
7-6,88,Voltage (V),1,0
7-6,89,Voltage (V),1,0
7-6,93,Voltage (V),1,0
7-6,99,Voltage (V),1,0
7-6,106,Voltage (V),1,0
7-6,107,Voltage (V),1,0
7-6,108,Voltage (V),1,0
7-6,109,Voltage (V),1,0
7-6,114,Voltage (V),1,0
7-6,119,Voltage (V),1,0
7-6,120,Voltage (V),1,0
7-6,121,Voltage (V),1,0
7-6,122,Voltage (V),1,0
7-6,131,Voltage (V),1,0
7-6,132,Voltage (V),1,0
7-6,138,Voltage (V),1,0
7-6,143,Voltage (V),1,0
7-6,144,Voltage (V),1,0
7-6,145,Voltage (V),1,0
7-6,152,Voltage (V),1,0
7-6,153,Voltage (V),1,0
7-6,154,Voltage (V),1,0
7-6,160,Voltage (V),1,0
7-6,161,Voltage (V),1,0
7-6,170,Voltage (V),1,0
7-6,188,Voltage (V),1,0
7-6,192,Voltage (V),1,0
7-6,201,Voltage (V),1,0
7-6,210,Voltage (V),1,0
7-6,229,Voltage (V),1,0
7-6,254,Voltage (V),1,0
7-7,1,Voltage (V),1,0
7-7,6,Voltage (V),1,0
7-7,8,Voltage (V),1,0
7-7,14,Voltage (V),1,0
7-7,19,Voltage (V),1,0
7-7,20,Voltage (V),1,0
7-7,23,Voltage (V),1,0
7-7,24,Voltage (V),1,0
7-7,29,Voltage (V),1,0
7-7,30,Voltage (V),1,0
7-7,35,Voltage (V),1,0
7-7,40,Voltage (V),1,0
7-7,41,Voltage (V),1,0
7-7,45,Voltage (V),1,0
7-7,46,Voltage (V),1,0
7-7,49,Voltage (V),1,0
7-7,51,Voltage (V),1,0
7-7,52,Voltage (V),1,0
7-7,55,Voltage (V),1,0
7-7,56,Voltage (V),1,0
7-7,57,Voltage (V),1,0
7-7,62,Voltage (V),1,0
7-7,63,Voltage (V),1,0
7-7,69,Voltage (V),1,0
7-7,73,Voltage (V),1,0
7-7,78,Voltage (V),1,0
7-7,79,Voltage (V),1,0
7-7,80,Voltage (V),1,0
7-7,81,Voltage (V),1,0
7-7,86,Voltage (V),1,0
7-7,87,Voltage (V),1,0
7-7,88,Voltage (V),1,0
7-7,89,Voltage (V),1,0
7-7,94,Voltage (V),1,0
7-7,100,Voltage (V),1,0
7-7,108,Voltage (V),1,0
7-7,109,Voltage (V),1,0
7-7,116,Voltage (V),1,0
7-7,123,Voltage (V),1,0
7-7,124,Voltage (V),1,0
7-7,133,Voltage (V),1,0
7-7,134,Voltage (V),1,0
7-7,141,Voltage (V),1,0
7-7,146,Voltage (V),1,0
7-7,147,Voltage (V),1,0
7-7,148,Voltage (V),1,0
7-7,149,Voltage (V),1,0
7-7,156,Voltage (V),1,0
7-7,157,Voltage (V),1,0
7-7,158,Voltage (V),1,0
7-7,159,Voltage (V),1,0
7-7,166,Voltage (V),1,0
7-7,167,Voltage (V),1,0
7-7,177,Voltage (V),1,0
7-7,178,Voltage (V),1,0
7-7,197,Voltage (V),1,0
7-7,198,Voltage (V),1,0
7-7,199,Voltage (V),1,0
7-7,200,Voltage (V),1,0
7-7,210,Voltage (V),1,0
7-7,211,Voltage (V),1,0
7-7,220,Voltage (V),1,0
7-7,260,Voltage (V),1,0
8-1,29,Voltage (V),1,0
8-1,35,Voltage (V),1,0
8-1,57,Voltage (V),1,0
8-1,63,Voltage (V),1,0
8-1,70,Voltage (V),1,0
8-1,87,Voltage (V),1,0
8-1,88,Voltage (V),1,0
8-5,11,Voltage (V),1,0
8-5,15,Voltage (V),1,0
8-5,18,Voltage (V),1,0
8-5,21,Voltage (V),1,0
8-5,22,Voltage (V),1,0
8-5,26,Voltage (V),1,0
8-5,27,Voltage (V),1,0
8-5,31,Voltage (V),1,0
8-5,32,Voltage (V),1,0
8-5,37,Voltage (V),1,0
8-5,38,Voltage (V),1,0
8-5,43,Voltage (V),1,0
8-5,44,Voltage (V),1,0
8-5,48,Voltage (V),1,0
8-5,55,Voltage (V),1,0
8-5,59,Voltage (V),1,0
8-5,60,Voltage (V),1,0
8-5,61,Voltage (V),1,0
8-5,62,Voltage (V),1,0
8-5,66,Voltage (V),1,0
8-5,67,Voltage (V),1,0
8-5,71,Voltage (V),1,0
8-5,77,Voltage (V),1,0
8-5,78,Voltage (V),1,0
8-5,79,Voltage (V),1,0
8-5,86,Voltage (V),1,0
8-5,87,Voltage (V),1,0
8-5,91,Voltage (V),1,0
8-5,92,Voltage (V),1,0
8-5,97,Voltage (V),1,0
8-5,98,Voltage (V),1,0
8-5,99,Voltage (V),1,0
8-5,106,Voltage (V),1,0
8-5,107,Voltage (V),1,0
8-5,108,Voltage (V),1,0
8-5,114,Voltage (V),1,0
8-5,123,Voltage (V),1,0
8-5,130,Voltage (V),1,0
8-5,131,Voltage (V),1,0
8-5,132,Voltage (V),1,0
8-5,138,Voltage (V),1,0
8-5,145,Voltage (V),1,0
8-5,155,Voltage (V),1,0
8-5,171,Voltage (V),1,0
8-5,172,Voltage (V),1,0
8-5,173,Voltage (V),1,0
8-5,183,Voltage (V),1,0
10-3,68,Voltage (V),1,0
10-8,2,Voltage (V),1,0
10-8,3,Voltage (V),1,0
10-8,4,Voltage (V),1,0
10-8,9,Voltage (V),1,0
10-8,11,Voltage (V),1,0
10-8,12,Voltage (V),1,0
10-8,14,Voltage (V),1,0
10-8,17,Voltage (V),1,0
10-8,21,Voltage (V),1,0
10-8,22,Voltage (V),1,0
10-8,23,Voltage (V),1,0
10-8,26,Voltage (V),1,0
10-8,27,Voltage (V),1,0
10-8,30,Voltage (V),1,0
10-8,31,Voltage (V),1,0
10-8,32,Voltage (V),1,0
10-8,35,Voltage (V),1,0
10-8,36,Voltage (V),1,0
10-8,37,Voltage (V),1,0
10-8,41,Voltage (V),1,0
10-8,44,Voltage (V),1,0
10-8,45,Voltage (V),1,0
10-8,46,Voltage (V),1,0
10-8,48,Voltage (V),1,0
10-8,49,Voltage (V),1,0
10-8,53,Voltage (V),1,0
10-8,54,Voltage (V),1,0
10-8,58,Voltage (V),1,0
10-8,59,Voltage (V),1,0
10-8,63,Voltage (V),1,0
10-8,64,Voltage (V),1,0
10-8,67,Voltage (V),1,0
10-8,70,Voltage (V),1,0
10-8,71,Voltage (V),1,0
10-8,72,Voltage (V),1,0
10-8,76,Voltage (V),1,0
10-8,77,Voltage (V),1,0
10-8,78,Voltage (V),1,0
10-8,83,Voltage (V),1,0
10-8,84,Voltage (V),1,0
10-8,87,Voltage (V),1,0
10-8,88,Voltage (V),1,0
10-8,91,Voltage (V),1,0
10-8,92,Voltage (V),1,0
10-8,93,Voltage (V),1,0
10-8,97,Voltage (V),1,0
10-8,98,Voltage (V),1,0
10-8,99,Voltage (V),1,0
10-8,100,Voltage (V),1,0
10-8,104,Voltage (V),1,0
10-8,105,Voltage (V),1,0
10-8,106,Voltage (V),1,0
10-8,109,Voltage (V),1,0
10-8,110,Voltage (V),1,0
10-8,111,Voltage (V),1,0
10-8,116,Voltage (V),1,0
10-8,117,Voltage (V),1,0
10-8,118,Voltage (V),1,0
10-8,122,Voltage (V),1,0
10-8,123,Voltage (V),1,0
10-8,124,Voltage (V),1,0
10-8,125,Voltage (V),1,0
10-8,126,Voltage (V),1,0
10-8,129,Voltage (V),1,0
10-8,130,Voltage (V),1,0
10-8,134,Voltage (V),1,0
10-8,135,Voltage (V),1,0
10-8,136,Voltage (V),1,0
10-8,137,Voltage (V),1,0
10-8,138,Voltage (V),1,0
10-8,142,Voltage (V),1,0
10-8,143,Voltage (V),1,0
10-8,144,Voltage (V),1,0
10-8,150,Voltage (V),1,0
10-8,154,Voltage (V),1,0
10-8,155,Voltage (V),1,0
10-8,156,Voltage (V),1,0
10-8,161,Voltage (V),1,0
10-8,162,Voltage (V),1,0
10-8,163,Voltage (V),1,0
10-8,164,Voltage (V),1,0
10-8,165,Voltage (V),1,0
10-8,172,Voltage (V),1,0
10-8,173,Voltage (V),1,0
10-8,181,Voltage (V),1,0
10-8,182,Voltage (V),1,0
10-8,190,Voltage (V),1,0
10-8,191,Voltage (V),1,0
10-8,195,Voltage (V),1,0
10-8,196,Voltage (V),1,0
10-8,197,Voltage (V),1,0
10-8,198,Voltage (V),1,0
10-8,204,Voltage (V),1,0
10-8,205,Voltage (V),1,0
10-8,206,Voltage (V),1,0
10-8,207,Voltage (V),1,0
10-8,208,Voltage (V),1,0
10-8,209,Voltage (V),1,0
10-8,210,Voltage (V),1,0
10-8,211,Voltage (V),1,0
10-8,212,Voltage (V),1,0
10-8,213,Voltage (V),1,0
10-8,214,Voltage (V),1,0
10-8,215,Voltage (V),1,0
10-8,217,Voltage (V),1,0
10-8,220,Voltage (V),1,0
10-8,221,Voltage (V),1,0
10-8,225,Voltage (V),1,0
10-8,226,Voltage (V),1,0
10-8,235,Voltage (V),1,0
10-8,236,Voltage (V),1,0
10-8,237,Voltage (V),1,0
10-8,241,Voltage (V),1,0
10-8,245,Voltage (V),1,0
10-8,246,Voltage (V),1,0
10-8,247,Voltage (V),1,0
10-8,255,Voltage (V),1,0
10-8,256,Voltage (V),1,0
10-8,257,Voltage (V),1,0
10-8,262,Voltage (V),1,0
10-8,269,Voltage (V),1,0
10-8,271,Voltage (V),1,0
10-8,284,Voltage (V),1,0
10-8,285,Voltage (V),1,0
10-8,291,Voltage (V),1,0
10-8,292,Voltage (V),1,0
10-8,321,Voltage (V),1,0
10-8,322,Voltage (V),1,0
