============================================================================================================================================
                                     MIT-STANFORD DATASET: FULL CELL AUDIT REPORT
============================================================================================================================================
Generated on: 2026-04-01 20:56:55.111279

* Analysis based on the first available cycle of each cell.
---------------------------------------------------------------------------------------------------------------------------------------
Cell ID         |   Life |  Smp(s) |   Chg(s) |   Dis(s) | Init Q(Ah) |  Init IR | Policy
b2c44           |    457 |    2.78 |      0.0 |      0.0 |     1.0665 |  0.01780 | 6C(40%)-4C
b2c45           |    487 |    3.03 |      0.0 |      0.0 |     1.0662 |  0.01735 | 6C(4%)-4.75C
b2c46           |    429 |    2.65 |      0.0 |      0.0 |     1.0683 |  0.01793 | 6C(52%)-3.5C
b2c47           |    713 |    2.40 |      0.0 |      0.0 |     1.0383 |  0.01793 | 6C(60%)-3C
b2c5            |    480 |    3.02 |      0.0 |      0.0 |     1.0642 |  0.01723 | 3.6C(2%)-4.85C
b2c6            |    511 |    2.89 |      0.0 |      0.0 |     1.0652 |  0.01704 | 3.6C(30%)-6C
b2c7            |    663 |    2.91 |      0.0 |      0.0 |     1.0219 |  0.01710 | 80%)-3.6C
b2c8            |    982 |    2.91 |      0.0 |      0.0 |     1.0245 |  0.01724 | 80%)-3.6C
b2c9            |   1061 |    2.88 |      0.0 |      0.0 |     1.0296 |  0.01704 | 80%)-3.6C
b3c0            |   1009 |    3.70 |      0.0 |      0.0 |     1.0666 |  0.01543 | 5C(67%)-4C-newstructure
b3c1            |   1063 |    3.69 |      0.0 |      0.0 |     1.0642 |  0.01517 | 5.3C(54%)-4C-newstructure
b3c10           |   1078 |    3.76 |      0.0 |      0.0 |     1.0609 |  0.01554 | 4.8C(80%)-4.8C-newstructure
b3c11           |    817 |    3.73 |      0.0 |      0.0 |     1.0673 |  0.01563 | 5.6C(19%)-4.6C-newstructure
b3c12           |    932 |    3.74 |      0.0 |      0.0 |     1.0732 |  0.01618 | 5.6C(36%)-4.3C-newstructure
b3c13           |    816 |    3.71 |      0.0 |      0.0 |     1.0642 |  0.01526 | 5.6C(19%)-4.6C-newstructure
b3c14           |    858 |    3.73 |      0.0 |      0.0 |     1.0716 |  0.01571 | 5.6C(36%)-4.3C-newstructure
b3c15           |    876 |    3.73 |      0.0 |      0.0 |     1.0678 |  0.01544 | 5.9C(15%)-4.6C-newstructure
b3c16           |   1638 |    3.71 |      0.0 |      0.0 |     1.0606 |  0.01547 | 4.8C(80%)-4.8C-newstructure
b3c17           |   1315 |    3.65 |      0.0 |      0.0 |     1.0653 |  0.01557 | 5.3C(54%)-4C-newstructure
b3c18           |   1146 |    3.67 |      0.0 |      0.0 |     1.0675 |  0.01513 | 5.6C(19%)-4.6C-newstructure
b3c19           |   1155 |    3.68 |      0.0 |      0.0 |     1.0706 |  0.01560 | 5.6C(36%)-4.3C-newstructure
b3c2            |   1267 |    3.58 |      0.0 |      0.0 |     1.0600 |  0.01491 | 5.6C(19%)-4.6C-newstructure
b3c20           |    813 |    3.73 |      0.0 |      0.0 |     1.0638 |  0.01544 | 5C(67%)-4C-newstructure
b3c21           |    772 |    3.56 |      0.0 |      0.0 |     1.0679 |  0.01394 | 3.7C(31%)-5.9C-newstructure
b3c22           |   1002 |    3.66 |      0.0 |      0.0 |     1.0551 |  0.01592 | 5.9C(60%)-3.1C-newstructure
b3c23           |      0 |    3.75 |      0.0 |      0.0 |     1.0650 |  0.01536 | 4.8C(80%)-4.8C-newstructure
b3c24           |    825 |    3.67 |      0.0 |      0.0 |     1.0452 |  0.01577 | 5C(67%)-4C-newstructure
b3c25           |    989 |    3.72 |      0.0 |      0.0 |     1.0601 |  0.01580 | 5.3C(54%)-4C-newstructure
b3c26           |   1028 |    3.73 |      0.0 |      0.0 |     1.0710 |  0.01572 | 5.6C(19%)-4.6C-newstructure
b3c27           |    850 |    3.68 |      0.0 |      0.0 |     1.0593 |  0.01511 | 5.6C(36%)-4.3C-newstructure
b3c28           |    541 |    3.63 |      0.0 |      0.0 |     1.0513 |  0.01317 | 3.7C(31%)-5.9C-newstructure
b3c29           |    858 |    3.71 |      0.0 |      0.0 |     1.0652 |  0.01499 | 5.9C(15%)-4.6C-newstructure
b3c3            |   1115 |    3.64 |      0.0 |      0.0 |     1.0623 |  0.01495 | 5.6C(36%)-4.3C-newstructure
b3c30           |    935 |    3.73 |      0.0 |      0.0 |     1.0675 |  0.01576 | 5.3C(54%)-4C-newstructure
b3c31           |    731 |    3.74 |      0.0 |      0.0 |     1.0675 |  0.01601 | 5.9C(60%)-3.1C-newstructure
b3c32           |      0 |    3.73 |      0.0 |      0.0 |     1.0716 |  0.01560 | 4.8C(80%)-4.8C-newstructure
b3c33           |   1284 |    3.66 |      0.0 |      0.0 |     1.0594 |  0.01561 | 5C(67%)-4C-newstructure
b3c34           |   1158 |    3.66 |      0.0 |      0.0 |     1.0602 |  0.01547 | 5.3C(54%)-4C-newstructure
b3c35           |   1093 |    3.68 |      0.0 |      0.0 |     1.0626 |  0.01550 | 5.6C(19%)-4.6C-newstructure
b3c36           |    923 |    3.65 |      0.0 |      0.0 |     1.0574 |  0.01528 | 5.6C(36%)-4.3C-newstructure
b3c37           |   1390 |    1.34 |      0.0 |      0.0 |     1.0489 |  0.01497 | 4.8C(80%)-4.8C-newstructure
b3c38           |   1935 |    3.70 |      0.0 |      0.0 |     1.0692 |  0.01601 | 5C(67%)-4C-newstructure
b3c39           |   1156 |    3.60 |      0.0 |      0.0 |     1.0464 |  0.01574 | 5.3C(54%)-4C-newstructure
b3c4            |   1048 |    3.73 |      0.0 |      0.0 |     1.0717 |  0.01530 | 5.6C(19%)-4.6C-newstructure
b3c40           |    796 |    3.73 |      0.0 |      0.0 |     1.0582 |  0.01555 | 5.6C(19%)-4.6C-newstructure
b3c41           |    786 |    3.68 |      0.0 |      0.0 |     1.0492 |  0.01855 | 5.6C(36%)-4.3C-newstructure
b3c42           |   1642 |    3.81 |      0.0 |      0.0 |     1.0657 |  0.01643 | 4.8C(80%)-4.8C-newstructure
b3c43           |   1046 |    3.64 |      0.0 |      0.0 |     1.0692 |  0.01605 | 5C(67%)-4C-newstructure
b3c44           |    940 |    3.71 |      0.0 |      0.0 |     1.0686 |  0.01574 | 5.3C(54%)-4C-newstructure
b3c45           |   1801 |    3.79 |      0.0 |      0.0 |     1.0688 |  0.01578 | 4.8C(80%)-4.8C-newstructure
b3c5            |    828 |    3.69 |      0.0 |      0.0 |     1.0501 |  0.01537 | 5.6C(36%)-4.3C-newstructure
b3c6            |    667 |    3.61 |      0.0 |      0.0 |     1.0620 |  0.01352 | 3.7C(31%)-5.9C-newstructure
b3c7            |   1836 |    3.76 |      0.0 |      0.0 |     1.0665 |  0.01557 | 4.8C(80%)-4.8C-newstructure
b3c8            |    828 |    3.72 |      0.0 |      0.0 |     1.0637 |  0.01549 | 5C(67%)-4C-newstructure
b3c9            |   1039 |    3.72 |      0.0 |      0.0 |     1.0684 |  0.01594 | 5.3C(54%)-4C-newstructure
